PS C:\Users\napit\source\repos\algenHaskell\app> runhaskell main
[Gen: 54.7453 Fitness: -53.271393
,Gen: -88.142914 Fitness: 15.634437 
,Gen: -56.312916 Fitness: -13.153245
,Gen: -51.016174 Fitness: 34.80042  
,Gen: 98.17325 Fitness: -69.313225  
,Gen: 49.994736 Fitness: -13.371144 
,Gen: -12.443138 Fitness: -1.5295208
,Gen: 60.210373 Fitness: -29.923218 
,Gen: 15.776428 Fitness: -1.0792887 
,Gen: 32.47438 Fitness: 28.304625   
]
[Gen: 98.17325 Fitness: -69.313225
,Gen: 54.7453 Fitness: -53.271393
,Gen: 60.210373 Fitness: -29.923218
,Gen: 49.994736 Fitness: -13.371144
,Gen: -56.312916 Fitness: -13.153245
,Gen: -12.443138 Fitness: -1.5295208
,Gen: 15.776428 Fitness: -1.0792887
,Gen: -88.142914 Fitness: 15.634437
,Gen: 32.47438 Fitness: 28.304625
,Gen: -51.016174 Fitness: 34.80042
]
"----- INTERMISION --------"
[Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: -11.919268 Fitness: -7.185859
,Gen: 65.323814 Fitness: 39.51391
,Gen: 41.23456 Fitness: -15.823754
,Gen: -1.7134094 Fitness: 1.6960148
]
"----- ITERACION 1 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 2 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 3 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 4 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 5 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 6 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 7 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 8 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 9 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
"----- ITERACION 10 --------"
[Gen: 54.7453 Fitness: -53.271393
,Gen: 41.23456 Fitness: -15.823754
,Gen: 41.23456 Fitness: -15.823754
,Gen: -56.312916 Fitness: -13.153245
,Gen: -11.919268 Fitness: -7.185859
,Gen: -11.919268 Fitness: -7.185859
,Gen: -1.7134094 Fitness: 1.6960148
,Gen: 1.864563 Fitness: 1.7846851
,Gen: -19.07409 Fitness: 4.2468696
,Gen: 65.323814 Fitness: 39.51391
]
